1. YEAR,2. TRIFD,3. FRS ID,4. FACILITY NAME,5. STREET ADDRESS,6. CITY,7. COUNTY,8. ST,9. ZIP,10. BIA,11. TRIBE,12. LATITUDE,13. LONGITUDE,14. HORIZONTAL DATUM,15. PARENT CO NAME,16. PARENT CO DB NUM,17. STANDARD PARENT CO NAME,18. FOREIGN PARENT CO NAME,19. FOREIGN PARENT CO DB NUM,20. STANDARD FOREIGN PARENT CO NAME,21. FEDERAL FACILITY,22. INDUSTRY SECTOR CODE,23. INDUSTRY SECTOR,24. PRIMARY SIC,25. SIC 2,26. SIC 3,27. SIC 4,28. SIC 5,29. SIC 6,30. PRIMARY NAICS,31. NAICS 2,32. NAICS 3,33. NAICS 4,34. NAICS 5,35. NAICS 6,36. DOC_CTRL_NUM,37. CHEMICAL,38. ELEMENTAL METAL INCLUDED,39. TRI CHEMICAL/COMPOUND ID,40. CAS#,41. SRS ID,42. CLEAN AIR ACT CHEMICAL,43. CLASSIFICATION,44. METAL,45. METAL CATEGORY,46. CARCINOGEN,47. PBT,48. PFAS,49. FORM TYPE,50. UNIT OF MEASURE,51. 5.1 - FUGITIVE AIR,52. 5.2 - STACK AIR,53. 5.3 - WATER,54. 5.4 - UNDERGROUND,55. 5.4.1 - UNDERGROUND CL I,56. 5.4.2 - UNDERGROUND C II-V,57. 5.5.1 - LANDFILLS,58. 5.5.1A - RCRA C LANDFILL,59. 5.5.1B - OTHER LANDFILLS,60. 5.5.2 - LAND TREATMENT,61. 5.5.3 - SURFACE IMPNDMNT,62. 5.5.3A - RCRA SURFACE IM,63. 5.5.3B - OTHER SURFACE I,64. 5.5.4 - OTHER DISPOSAL,65. ON-SITE RELEASE TOTAL,66. 6.1 - POTW - TRNS RLSE,67. 6.1 - POTW - TRNS TRT,68. POTW - TOTAL TRANSFERS,69. 6.2 - M10,70. 6.2 - M41,71. 6.2 - M62,72. 6.2 - M40 METAL,73. 6.2 - M61 METAL,74. 6.2 - M71,75. 6.2 - M81,76. 6.2 - M82,77. 6.2 - M72,78. 6.2 - M63,79. 6.2 - M66,80. 6.2 - M67,81. 6.2 - M64,82. 6.2 - M65,83. 6.2 - M73,84. 6.2 - M79,85. 6.2 - M90,86. 6.2 - M94,87. 6.2 - M99,88. OFF-SITE RELEASE TOTAL,89. 6.2 - M20,90. 6.2 - M24,91. 6.2 - M26,92. 6.2 - M28,93. 6.2 - M93,94. OFF-SITE RECYCLED TOTAL,95. 6.2 - M56,96. 6.2 - M92,97. OFF-SITE ENERGY RECOVERY T,98. 6.2 - M40 NON-METAL,99. 6.2 - M50,100. 6.2 - M54,101. 6.2 - M61 NON-METAL,102. 6.2 - M69,103. 6.2 - M95,104. OFF-SITE TREATED TOTAL,105. 6.2 - UNCLASSIFIED,106. 6.2 - TOTAL TRANSFER,107. TOTAL RELEASES,108. 8.1 - RELEASES,109. 8.1A - ON-SITE CONTAINED,110. 8.1B - ON-SITE OTHER,111. 8.1C - OFF-SITE CONTAIN,112. 8.1D - OFF-SITE OTHER R,113. 8.2 - ENERGY RECOVER ON,114. 8.3 - ENERGY RECOVER OF,115. 8.4 - RECYCLING ON SITE,116. 8.5 - RECYCLING OFF SIT,117. 8.6 - TREATMENT ON SITE,118. 8.7 - TREATMENT OFF SITE,119. PRODUCTION WSTE (8.1-8.7),120. 8.8 - ONE-TIME RELEASE,121. PROD_RATIO_OR_ ACTIVITY,122. 8.9 - PRODUCTION RATIO
2024,47670PSNRGHWY64,110070834810,GIBSON GENERATING STATION,1097 N 950 W,OWENSVILLE,GIBSON,IN,47665,,,38.369834,-87.746598,,DUKE ENERGY CORP,006996052,DUKE ENERGY CORP,NA,,NA,NO,2211,Electric Utilities,,,,,,,221112,,,,,,1324222791168,Thallium  And Thallium Compounds,YES,N760,N760,649673,NO,TRI,YES,Metal complound categories,NO,NO,NO,R,Pounds,0.000,27.000,0.000,0.000,0.000,0.000,0.000,0.000,51000.000,0.000,0.000,0.000,0.000,0.000,51027.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,51027.000,0.000,51000.000,27.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,51027.000,,PRODUCTION,1.030
2024,46774SPRRL14214,110000493788,SUPERIOR ALUMINUM ALLOYS LLC,14214 EDGERTON RD,NEW HAVEN,ALLEN,IN,46774,,,41.078868,-84.956971,,OMNISOURCE LLC,016319345,OMNISOURCE LLC,NA,,NA,NO,331,Primary Metals,,,,,,,331314,,,,,,1324223180783,Chlorine,NO,0007782505,7782-50-5,154328,YES,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,0.000,233.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,233.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,233.000,0.000,0.000,233.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,233.000,,PRODUCTION,1.210
2024,46124SRMYCHOSPI,110010455854,US ARMY NATIONAL GUARD CAMP ATTERBURY RANGES,HOSPITAL RD,EDINBURGH,BARTHOLOMEW,IN,46124,,,39.359629,-86.053562,,US DEPARTMENT OF DEFENSE,NA,US DEPARTMENT OF DEFENSE,NA,,NA,YES,999,Other,,,,,,,928110,,,,,,1324222515850,Lead  And Lead Compounds,YES,N420,N420,650002,YES,PBT,YES,Metal complound categories,NO,YES,NO,R,Pounds,39.700,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,15474.000,15513.700,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,15513.700,0.000,0.000,15513.700,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,15513.700,,ACTIVITY,0.960
2024,46902HYNSN1020W,110000401351,HAYNES INTERNATIONAL INC,2000 W DEFENBAUGH ST,KOKOMO,HOWARD,IN,46902,,,40.469009,-86.165162,,HAYNES INTERNATIONAL INC,NA,HAYNES INTERNATIONAL INC,NA,,ACERINOX SA,NO,331,Primary Metals,,,,,,,331491,,,,,,1324223048962,Cobalt,NO,0007440484,7440-48-4,150078,YES,TRI,YES,Elemental metals,YES,NO,NO,R,Pounds,1.600,158.300,0.400,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,160.300,10.000,0.000,10.000,0.000,18.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,28.000,0.000,108542.000,0.000,0.000,212.000,108754.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,108782.000,188.300,0.000,0.000,160.300,3.200,24.800,0.000,0.000,0.000,108754.000,0.000,0.000,108942.300,,PRODUCTION,0.850
2024,46738GRPDK165DE,110039498709,GROUP DEKKO INC,1605 DEKKO DR,GARRETT,DEKALB,IN,46738,,,41.366781,-85.106071,,GROUP DEKKO,796965168,GROUP DEKKO,NA,,NA,NO,335,Electrical Equipment,,,,,,,335132,,,,,,1324222453235,Copper,NO,0007440508,7440-50-8,150086,NO,TRI,YES,Elemental metals,NO,NO,NO,R,Pounds,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,188829.000,188829.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,188829.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,188829.000,0.000,0.000,188829.000,,PRODUCTION,0.760
2024,4662WMGNRN3722F,110071045704,IMAGINEERING ENTERPRISES LLC,3722 FOUNDATION CT,SOUTH BEND,ST JOSEPH,IN,46628,,,41.711340,-86.302043,,IMAGINEERING ENTERPRISES INC,069753101,IMAGINEERING ENTERPRISES INC,NA,,NA,NO,332,Fabricated Metals,,,,,,,332813,332812,,,,,1324222897074,Nitric acid,NO,0007697372,7697-37-2,152686,NO,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,1.700,5.400,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.100,0.000,0.000,7.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.100,,PRODUCTION,1.140
2024,46202PRLSS2005D,110000396839,STERLING FLUID SYSTEMS DBA PEERLESS PUMP CO.,2005 DR.MARTIN LUTHER KING JR.,INDIANAPOLIS,MARION,IN,46202,,,39.793373,-86.168403,,NA,,NA,NA,,NA,NO,333,Machinery,,,,,,,333914,,,,,,1324223182243,Copper,NO,0007440508,7440-50-8,150086,NO,TRI,YES,Elemental metals,NO,NO,NO,R,Pounds,0.240,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.240,0.036,0.000,0.036,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.036,0.000,33533.450,0.000,0.000,0.000,33533.450,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,33533.486,0.276,0.000,0.000,0.240,0.026,0.010,0.000,0.000,0.000,33533.450,0.000,0.000,33533.726,,PRODUCTION,0.800
2024,46714FRNKL400ES,110000400174,WEG ELECTRIC CORP.,410 E SPRING ST,BLUFFTON,WELLS,IN,46714,,,40.728257,-85.167328,,NA,,NA,NA,,NA,NO,335,Electrical Equipment,,,,,,,335312,,,,,,1324223117286,Chromium,NO,0007440473,7440-47-3,150060,YES,TRI,YES,Elemental metals,NO,NO,NO,R,Pounds,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.759,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.759,0.000,28840.490,0.000,0.000,0.000,28840.490,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,28847.249,6.759,0.000,0.000,0.000,0.000,6.759,0.000,0.000,0.000,28840.490,0.000,0.000,28847.249,,PRODUCTION,0.860
2024,46952WLYMT816W3,110012056899,WILEY METAL FABRICATING INC.,816 W 34TH ST,MARION,GRANT,IN,46952,,,40.529133,-85.669949,,NA,,NA,NA,,NA,NO,332,Fabricated Metals,,,,,,,332322,,,,,,1324222680365,Copper,NO,0007440508,7440-50-8,150086,NO,TRI,YES,Elemental metals,NO,NO,NO,R,Pounds,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16640.000,0.000,0.000,0.000,16640.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16640.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16640.000,0.000,0.000,16640.000,,PRODUCTION,0.900
2024,46312NTNLB5222I,110000397856,HARSCO MINERALS - NBC,5222 INDIANAPOLIS BLVD,EAST CHICAGO,LAKE,IN,46312,,,41.618527,-87.480835,,OPTA (USA),145881806,OPTA (USA),NA,,NA,NO,327,Nonmetallic Mineral Product,,,,,,,327992,,,,,,1324223171164,Manganese compounds,NO,N450,N450,650010,YES,TRI,YES,Metal complound categories,NO,NO,NO,A,Pounds,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000
